2023-04-12 17:55:55,404 INFO    StreamThr :754615 [internal.py:wandb_internal():87] W&B internal server running at pid: 754615, started at: 2023-04-12 17:55:55.403906
2023-04-12 17:55:55,409 DEBUG   HandlerThread:754615 [handler.py:handle_request():144] handle_request: status
2023-04-12 17:55:55,412 INFO    WriterThread:754615 [datastore.py:open_for_write():85] open: /home/zhenli/KPConv-Triplane/wandb/run-20230412_175555-575ndjme/run-575ndjme.wandb
2023-04-12 17:55:55,413 DEBUG   SenderThread:754615 [sender.py:send():336] send: header
2023-04-12 17:55:55,414 DEBUG   SenderThread:754615 [sender.py:send():336] send: run
2023-04-12 17:55:55,698 DEBUG   HandlerThread:754615 [handler.py:handle_request():144] handle_request: check_version
2023-04-12 17:55:55,702 INFO    SenderThread:754615 [dir_watcher.py:__init__():219] watching files in: /home/zhenli/KPConv-Triplane/wandb/run-20230412_175555-575ndjme/files
2023-04-12 17:55:55,702 INFO    SenderThread:754615 [sender.py:_start_run_threads():1078] run started: 575ndjme with start time 1681347355.401691
2023-04-12 17:55:55,703 DEBUG   SenderThread:754615 [sender.py:send_request():363] send_request: summary_record
2023-04-12 17:55:55,703 INFO    SenderThread:754615 [sender.py:_save_file():1332] saving file wandb-summary.json with policy end
2023-04-12 17:55:55,703 DEBUG   SenderThread:754615 [sender.py:send_request():363] send_request: check_version
2023-04-12 17:55:55,806 DEBUG   HandlerThread:754615 [handler.py:handle_request():144] handle_request: run_start
2023-04-12 17:55:55,810 DEBUG   HandlerThread:754615 [system_info.py:__init__():31] System info init
2023-04-12 17:55:55,810 DEBUG   HandlerThread:754615 [system_info.py:__init__():46] System info init done
2023-04-12 17:55:55,811 INFO    HandlerThread:754615 [system_monitor.py:start():183] Starting system monitor
2023-04-12 17:55:55,811 INFO    SystemMonitor:754615 [system_monitor.py:_start():147] Starting system asset monitoring threads
2023-04-12 17:55:55,811 INFO    HandlerThread:754615 [system_monitor.py:probe():204] Collecting system info
2023-04-12 17:55:55,813 INFO    SystemMonitor:754615 [interfaces.py:start():187] Started cpu monitoring
2023-04-12 17:55:55,815 INFO    SystemMonitor:754615 [interfaces.py:start():187] Started disk monitoring
2023-04-12 17:55:55,816 INFO    SystemMonitor:754615 [interfaces.py:start():187] Started gpu monitoring
2023-04-12 17:55:55,818 INFO    SystemMonitor:754615 [interfaces.py:start():187] Started memory monitoring
2023-04-12 17:55:55,820 INFO    SystemMonitor:754615 [interfaces.py:start():187] Started network monitoring
2023-04-12 17:55:55,898 DEBUG   HandlerThread:754615 [system_info.py:probe():195] Probing system
2023-04-12 17:55:55,905 DEBUG   HandlerThread:754615 [system_info.py:_probe_git():180] Probing git
2023-04-12 17:55:55,926 DEBUG   HandlerThread:754615 [system_info.py:_probe_git():188] Probing git done
2023-04-12 17:55:55,926 DEBUG   HandlerThread:754615 [system_info.py:probe():240] Probing system done
