2023-04-14 01:27:49,705 INFO    StreamThr :1305271 [internal.py:wandb_internal():87] W&B internal server running at pid: 1305271, started at: 2023-04-14 01:27:49.704641
2023-04-14 01:27:49,709 DEBUG   HandlerThread:1305271 [handler.py:handle_request():144] handle_request: status
2023-04-14 01:27:49,713 INFO    WriterThread:1305271 [datastore.py:open_for_write():85] open: /home/zhenli/KPConv-Triplane/wandb/run-20230414_012749-nthp3jrn/run-nthp3jrn.wandb
2023-04-14 01:27:49,715 DEBUG   SenderThread:1305271 [sender.py:send():336] send: header
2023-04-14 01:27:49,715 DEBUG   SenderThread:1305271 [sender.py:send():336] send: run
2023-04-14 01:27:50,063 DEBUG   HandlerThread:1305271 [handler.py:handle_request():144] handle_request: check_version
2023-04-14 01:27:50,069 INFO    SenderThread:1305271 [dir_watcher.py:__init__():219] watching files in: /home/zhenli/KPConv-Triplane/wandb/run-20230414_012749-nthp3jrn/files
2023-04-14 01:27:50,069 INFO    SenderThread:1305271 [sender.py:_start_run_threads():1078] run started: nthp3jrn with start time 1681460869.702972
2023-04-14 01:27:50,069 DEBUG   SenderThread:1305271 [sender.py:send_request():363] send_request: summary_record
2023-04-14 01:27:50,069 INFO    SenderThread:1305271 [sender.py:_save_file():1332] saving file wandb-summary.json with policy end
2023-04-14 01:27:50,070 DEBUG   SenderThread:1305271 [sender.py:send_request():363] send_request: check_version
2023-04-14 01:27:50,195 DEBUG   HandlerThread:1305271 [handler.py:handle_request():144] handle_request: run_start
2023-04-14 01:27:50,211 DEBUG   HandlerThread:1305271 [system_info.py:__init__():31] System info init
2023-04-14 01:27:50,211 DEBUG   HandlerThread:1305271 [system_info.py:__init__():46] System info init done
2023-04-14 01:27:50,212 INFO    HandlerThread:1305271 [system_monitor.py:start():183] Starting system monitor
2023-04-14 01:27:50,213 INFO    HandlerThread:1305271 [system_monitor.py:probe():204] Collecting system info
2023-04-14 01:27:50,214 INFO    SystemMonitor:1305271 [system_monitor.py:_start():147] Starting system asset monitoring threads
2023-04-14 01:27:50,217 INFO    SystemMonitor:1305271 [interfaces.py:start():187] Started cpu monitoring
2023-04-14 01:27:50,221 INFO    SystemMonitor:1305271 [interfaces.py:start():187] Started disk monitoring
2023-04-14 01:27:50,229 INFO    SystemMonitor:1305271 [interfaces.py:start():187] Started gpu monitoring
2023-04-14 01:27:50,233 INFO    SystemMonitor:1305271 [interfaces.py:start():187] Started memory monitoring
2023-04-14 01:27:50,236 INFO    SystemMonitor:1305271 [interfaces.py:start():187] Started network monitoring
